rmit_factor,MP,FC,F2,CIA,FS,F3,O2,FM
9, 278.764, 24.1029, 3517.85, 116.504, 188.213, 3139.13, 0.107462, 166.936
8, 229.014, 24.4386, 3535.66, 117.546, 186.98, 3164.41, 0.106839, 163.805
7, 179.769, 24.7775, 3554.34, 118.715, 185.42, 3188.32, 0.10605, 159.952
6, 131.91, 25.1111, 3573.41, 120.1, 183.349, 3210.38, 0.105003, 155.014
5, 87.1543, 25.4207, 3591.68, 121.901, 180.412, 3229.58, 0.103526, 148.341
4, 48.7969, 25.6585, 3606.07, 124.677, 175.884, 3243.56, 0.101276, 138.749
3, 21.8453, 25.6956, 3608.34, 130.202, 168.323, 3245.68, 0.0976204, 124.377
2, 8.54546, 25.1645, 3576.52, 144.616, 155.234, 3213.77, 0.0916751, 103.436
1, 3.57729, 22.7501, 3452.93, 194.228, 130.429, 3019.55, 0.082106, 73.447
0, 0.000000000000590104, 14.3349, 1479.05, 673.095, 0.00000000000650563, 1462.61, 24.9824, -0.0000000000000000000000000000000000000186191
