rmit_factor,MP,FC,F2,CIA,FS,F3,O2,FM
11, 0.534436, 15.0028, 1199.85, 322.027, 215.256, 932.144, 0.122071, 13.7354
10, 0.509602, 14.9814, 1191.8, 324.123, 210.682, 928.725, 0.119582, 13.3707
9, 0.483648, 14.9585, 1183.22, 326.366, 205.747, 925.082, 0.116904, 12.9816
8, 0.456359, 14.934, 1173.99, 328.788, 200.364, 921.165, 0.113999, 12.5623
7, 0.42745, 14.9075, 1163.94, 331.436, 194.413, 916.903, 0.110821, 12.105
6, 0.396529, 14.8782, 1152.84, 334.377, 187.718, 912.196, 0.107304, 11.5985
5, 0.363033, 14.8453, 1140.34, 337.712, 180.009, 906.893, 0.103355, 11.0256
4, 0.326095, 14.8074, 1125.84, 341.609, 170.838, 900.745, 0.0988309, 10.3584
3, 0.284258, 14.7617, 1108.32, 346.371, 159.373, 893.303, 0.0935009, 9.54546
2, 0.234687, 14.7024, 1085.51, 352.66, 143.773, 883.602, 0.0869509, 8.47598
1, 0.170115, 14.6125, 1050.75, 362.472, 118.312, 868.758, 0.0784167, 6.81422
0, 0.0000000000145885, 14.2706, 918.314, 402.84, 0.000000000173478, 810.978, 24.9708, -0.00000000000000000000000000000000000000000000000000000000014495
